business_unit_id,business_unit_name,location_name,department_name,respondents
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Infection Control,5
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Infusion Ambulatory 001,5
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Intensive Care Unit,26
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Interventional Radiology,9
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Labor and Delivery,26
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Magnetic Resonance Imaging MRI,7
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Materials Management,7
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Monitor Room 001,10
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Mother Baby Unit 001,23
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Neonatal ICU,1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Neonatal ICU Unit 002,3
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Neuro Science Unit,32
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Neuro Support Svcs 001,2
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Neuro Trauma ICU 001,38
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Nuclear Medicine 001,1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Nurse Staffing 001,7
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Nursing Administration,6
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Nursing Unit 001,32
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Nursing Unit 002,21
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,OB High Risk Unit 001,24
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Observation,11
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Observation Unit 002,40
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Observation Unit 003,8
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Oncology Unit 001,38
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Orthopedics Unit 001,19
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Ostomy 001,4
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Pastoral Care Spiritual Care,2
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Pat Ed Womens and Childrens,4
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Pediatric Support Svcs 001,1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Physical Therapy,28
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Pre Surgery,10
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Recovery Room,20
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Rehab Administration 001,2
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Respiratory Care 001,24
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Stepdown Intermediate Care,26
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Stepdown Intermediate Care 002,38
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Sterile Processing 001,16
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Surgery,49
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Surgery Ambulatory 001,5
