name,survey_type,level,parent,work_area,default_expected_respondent_count
Float Staffing 001,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Many Different Hospital Units, No Specific Unit",
Float Staffing 002,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Peds, NICU, PICU",
Freestanding ER Dept 001 (Sacred Hrt Hosp Pensacola),HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,ED/Short Stay,
HIM Coding Documentation (Sacred Hrt Hosp Pensacola),HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Other,
Imaging Administration,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Radiology/ Imaging,
Infection Control,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Quality, Risk Management, PAtient Safety",
Infusion Ambulatory 001,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Other,
Intensive Care Unit,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,ICU(All Adult Types),
Interventional Radiology,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Other,
Labor and Delivery,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Labor & Deliv/Ob,
Magnetic Resonance Imaging MRI,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Radiology/ Imaging,
Materials Management,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Other,
Monitor Room 001,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Telemetry,
Mother Baby Unit 001 (Sacred Hrt Hosp Pensacola),HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Labor & Deliv/Ob,
Neonatal ICU (Sacred Hrt Hosp Pensacola),HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Peds, NICU, PICU",
Neonatal ICU Unit 002 (Sacred Hrt Hosp Pensacola),HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Peds, NICU, PICU",
Neuro Science Unit,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Med/Surg, Other Pt. Care Units",
Neuro Support Svcs 001,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Many Different Hospital Units, No Specific Unit",
Neuro Trauma ICU 001,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,ICU(All Adult Types),
Nuclear Medicine 001,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Radiology/ Imaging,
Nurse Staffing 001,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Many Different Hospital Units, No Specific Unit",
Nursing Administration,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Admin/Mgmt,
Nursing Unit 001,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Med/Surg, Other Pt. Care Units",
Nursing Unit 002,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Med/Surg, Other Pt. Care Units",
OB High Risk Unit 001,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Labor & Deliv/Ob,
Observation,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,ED/Short Stay,
Observation Unit 002,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,ED/Short Stay,
Observation Unit 003,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,ED/Short Stay,
Oncology Unit 001,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Oncology, Hematology",
Orthopedics Unit 001,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Surg Svcs,
Ostomy 001,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Many Different Hospital Units, No Specific Unit",
Pastoral Care Spiritual Care,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Other,
Pat Ed Womens and Childrens,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Many Different Hospital Units, No Specific Unit",
