ascension_code,facility,item,n_answered
26042,Sacred Heart Bay,A2,392
26042,Sacred Heart Bay,A3,380
26042,Sacred Heart Bay,A4,384
26042,Sacred Heart Bay,A5,367
26042,Sacred Heart Bay,A6,378
26042,Sacred Heart Bay,A7,371
26042,Sacred Heart Bay,A8,386
26042,Sacred Heart Bay,A9,386
26042,Sacred Heart Bay,A10,380
26042,Sacred Heart Bay,A11,378
26042,Sacred Heart Bay,A12,368
26042,Sacred Heart Bay,A13,359
26042,Sacred Heart Bay,A14,376
26042,Sacred Heart Bay,B1,380
26042,Sacred Heart Bay,B2,379
26042,Sacred Heart Bay,B3,379
26042,Sacred Heart Bay,C1,367
26042,Sacred Heart Bay,C2,366
26042,Sacred Heart Bay,C3,365
26042,Sacred Heart Bay,C4,372
26042,Sacred Heart Bay,C5,316
26042,Sacred Heart Bay,C6,343
26042,Sacred Heart Bay,C7,362
26042,Sacred Heart Bay,D1,288
26042,Sacred Heart Bay,D2,298
26042,Sacred Heart Bay,D3,377
26042,Sacred Heart Bay,E1,383
26042,Sacred Heart Bay,F1,374
26042,Sacred Heart Bay,F2,377
26042,Sacred Heart Bay,F3,367
26042,Sacred Heart Bay,F4,331
26042,Sacred Heart Bay,F5,322
26042,Sacred Heart Bay,F6,326
26042,Sacred Heart Bay,G1,381
26042,Sacred Heart Bay,G2,381
26042,Sacred Heart Bay,G3,380
26042,Sacred Heart Bay,G4,381
26042,Sacred Heart Bay,H1,380
26042,Sacred Heart Bay,H2,378
52005,St Vincent’s Southside (St Luke),SP,447
52005,St Vincent’s Southside (St Luke),WA,447
52005,St Vincent’s Southside (St Luke),A1,437
52005,St Vincent’s Southside (St Luke),A2,434
52005,St Vincent’s Southside (St Luke),A3,420
52005,St Vincent’s Southside (St Luke),A4,428
52005,St Vincent’s Southside (St Luke),A5,417
52005,St Vincent’s Southside (St Luke),A6,421
52005,St Vincent’s Southside (St Luke),A7,413
52005,St Vincent’s Southside (St Luke),A8,432
52005,St Vincent’s Southside (St Luke),A9,431
52005,St Vincent’s Southside (St Luke),A10,429
52005,St Vincent’s Southside (St Luke),A11,431
52005,St Vincent’s Southside (St Luke),A12,421
52005,St Vincent’s Southside (St Luke),A13,421
52005,St Vincent’s Southside (St Luke),A14,420
52005,St Vincent’s Southside (St Luke),B1,431
52005,St Vincent’s Southside (St Luke),B2,428
52005,St Vincent’s Southside (St Luke),B3,427
52005,St Vincent’s Southside (St Luke),C1,411
52005,St Vincent’s Southside (St Luke),C2,415
52005,St Vincent’s Southside (St Luke),C3,408
52005,St Vincent’s Southside (St Luke),C4,412
52005,St Vincent’s Southside (St Luke),C5,347
52005,St Vincent’s Southside (St Luke),C6,378
52005,St Vincent’s Southside (St Luke),C7,399
52005,St Vincent’s Southside (St Luke),D1,329
52005,St Vincent’s Southside (St Luke),D2,333
52005,St Vincent’s Southside (St Luke),D3,423
52005,St Vincent’s Southside (St Luke),E1,427
52005,St Vincent’s Southside (St Luke),F1,416
52005,St Vincent’s Southside (St Luke),F2,416
52005,St Vincent’s Southside (St Luke),F3,411
52005,St Vincent’s Southside (St Luke),F4,350
52005,St Vincent’s Southside (St Luke),F5,348
52005,St Vincent’s Southside (St Luke),F6,343
52005,St Vincent’s Southside (St Luke),G1,422
52005,St Vincent’s Southside (St Luke),G2,422
52005,St Vincent’s Southside (St Luke),G3,423
52005,St Vincent’s Southside (St Luke),G4,423
52005,St Vincent’s Southside (St Luke),H1,421
52005,St Vincent’s Southside (St Luke),H2,421
52009,St Vincent’s Riverside (St Vincent Medical Center),SP,612
52009,St Vincent’s Riverside (St Vincent Medical Center),WA,612
52009,St Vincent’s Riverside (St Vincent Medical Center),A1,600
52009,St Vincent’s Riverside (St Vincent Medical Center),A2,595
52009,St Vincent’s Riverside (St Vincent Medical Center),A3,576
52009,St Vincent’s Riverside (St Vincent Medical Center),A4,587
52009,St Vincent’s Riverside (St Vincent Medical Center),A5,568
52009,St Vincent’s Riverside (St Vincent Medical Center),A6,581
52009,St Vincent’s Riverside (St Vincent Medical Center),A7,578
52009,St Vincent’s Riverside (St Vincent Medical Center),A8,591
52009,St Vincent’s Riverside (St Vincent Medical Center),A9,588
52009,St Vincent’s Riverside (St Vincent Medical Center),A10,585
52009,St Vincent’s Riverside (St Vincent Medical Center),A11,585
52009,St Vincent’s Riverside (St Vincent Medical Center),A12,565
52009,St Vincent’s Riverside (St Vincent Medical Center),A13,566
52009,St Vincent’s Riverside (St Vincent Medical Center),A14,572
52009,St Vincent’s Riverside (St Vincent Medical Center),B1,586
52009,St Vincent’s Riverside (St Vincent Medical Center),B2,577
52009,St Vincent’s Riverside (St Vincent Medical Center),B3,580
52009,St Vincent’s Riverside (St Vincent Medical Center),C1,562
52009,St Vincent’s Riverside (St Vincent Medical Center),C2,562
52009,St Vincent’s Riverside (St Vincent Medical Center),C3,540
52009,St Vincent’s Riverside (St Vincent Medical Center),C4,560
52009,St Vincent’s Riverside (St Vincent Medical Center),C5,475
52009,St Vincent’s Riverside (St Vincent Medical Center),C6,529
52009,St Vincent’s Riverside (St Vincent Medical Center),C7,539
52009,St Vincent’s Riverside (St Vincent Medical Center),D1,433
