business_unit_id,business_unit_name,location_name,department_name,respondents,dominant_ahca_wa,wa_label,domain_code,wa_purity,distinct_wa_codes
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Anesthesiology,1,34,Other,,100%,34:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Auxiliary,3,34,Other,,100%,34:3
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Bariatric Surgical Unit 001,11,2,"Med/Surg, Other Pt. Care Units",MSRG,73%,2:8 4:2 3:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Cardiac Care,47,5,Unknown,CARD,53%,5:25 15:7 2:6 3:6 34:2 4:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Cardiac Cath Lab,10,34,Other,,60%,34:6 18:4
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Cardiology Services Admin,4,18,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",,50%,18:2 5:1 34:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Case Mgmt,17,23,"Social Services, Case Management, Discharge Planning",,35%,23:6 1:3 4:2 8:1 27:1 9:1 3:1 2:1 11:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Computerized Tomography CT,8,21,Radiology/ Imaging,RADI,75%,21:6 1:2
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Diagnostic Radiology,6,21,Radiology/ Imaging,RADI,67%,21:4 18:1 1:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,EEG,2,1,"Many Different Hospital Units, No Specific Unit",,100%,1:2
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Electrocardiography EKG,21,21,Radiology/ Imaging,RADI,33%,21:7 34:6 1:4 5:4
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Emergency Department,71,6,ED/Short Stay,EDPT,94%,6:67 34:2 28:1 1:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Endoscopy GI Lab Gastro,7,17,"Endoscopy, Colonoscopy",,86%,17:6 18:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Float Staffing 001,41,1,"Many Different Hospital Units, No Specific Unit",,78%,1:32 2:3 34:3 24:1 4:1 10:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Float Staffing 002,5,11,"Peds, NICU, PICU",PEDS,80%,11:4 9:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Freestanding ER Dept 001,1,6,ED/Short Stay,EDPT,100%,6:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,HIM Coding Documentation,4,34,Other,,75%,34:3 28:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Imaging Administration,5,21,Radiology/ Imaging,RADI,80%,21:4 34:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Infection Control,5,28,"Quality, Risk Management, PAtient Safety",,60%,28:3 34:2
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Infusion Ambulatory 001,5,34,Other,,100%,34:5
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Intensive Care Unit,26,8,ICU(All Adult Types),ICU,96%,8:25 2:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Interventional Radiology,9,34,Other,,44%,34:4 21:3 18:2
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Labor and Delivery,26,9,Labor & Deliv/Ob,,96%,9:25 2:1
